,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Plot File,PKR48.4 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,11 hours ago,
1,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,
2,Plot File,PKR45.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,11 hours ago,
3,Plot File,PKR48.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,9 hours ago,
4,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
5,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
6,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
7,Plot File,PKR81.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
8,Plot File,PKR31.1 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
9,Plot File,PKR31.15 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
10,Plot File,PKR31.6 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,
11,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,11 hours ago,
12,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
13,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
14,Plot File,PKR77 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
15,Plot File,PKR46.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
16,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
17,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,19 hours ago,
18,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,19 hours ago,
19,Plot File,PKR31.2 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,23 hours ago,
20,Plot File,PKR31.35 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
21,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
22,Plot File,PKR31.35 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
23,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
24,Plot File,PKR48.4 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
25,Plot File,PKR31.15 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
26,Plot File,PKR31.1 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
27,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
28,Plot File,PKR48.25 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
29,Plot File,PKR31.25 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,8 hours ago,
30,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
31,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,
32,Plot File,PKR31.45 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,
33,Plot File,PKR48.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,9 hours ago,
34,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,
35,Plot File,PKR31.25 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,9 hours ago,
36,Residential Plot,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
37,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
38,Plot File,PKR46.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
39,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
40,Plot File,PKR78.75 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
41,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
42,Plot File,PKR31.6 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
43,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
44,Plot File,PKR31.4 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
45,Plot File,PKR30 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
46,Plot File,PKR76 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,
47,Plot File,PKR45.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,
48,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
49,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
50,Plot File,PKR30.9 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
51,Plot File,PKR78.75 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
52,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
53,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
54,Plot File,PKR83 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
55,Plot File,PKR1.75 Crore,"DHA City, Lahore, Punjab",-,8 Marla,For Sale,-,4 weeks ago,
56,Plot File,PKR49.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
57,Plot File,PKR32.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
58,Plot File,PKR47 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
59,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
60,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
61,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
62,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
63,Plot File,PKR48.75 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 hours ago,
64,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
65,Plot File,PKR45.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
66,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
67,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
68,Plot File,PKR53 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
69,Plot File,PKR77 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
70,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
71,Plot File,PKR53 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
72,Plot File,PKR77 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,22 minutes ago,
73,Plot File,PKR78 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
74,Plot File,PKR78 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
75,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
76,Plot File,PKR54 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
77,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
78,Plot File,PKR31.4 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
79,Plot File,PKR51 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
80,Plot File,PKR32 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
81,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
82,Plot File,PKR77.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
83,Plot File,PKR46.25 Lakh,"DHA City, Lahore, Punjab",-,10 Kanal,For Sale,-,3 days ago,
84,Plot File,PKR45.25 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
85,Plot File,PKR77 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
86,Plot File,PKR48.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
87,Plot File,PKR66 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
88,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
89,Plot File,PKR32 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
90,Plot File,PKR46.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
91,Plot File,PKR77 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
92,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
93,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
94,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
95,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
96,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
97,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
98,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
99,Plot File,PKR47 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
100,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
101,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
102,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
103,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
104,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
105,Plot File,PKR31.25 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
106,Plot File,PKR47.75 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
107,Plot File,PKR80 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
108,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
109,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
110,Plot File,PKR45.75 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
111,Plot File,PKR31.2 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
112,Plot File,PKR78.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
113,Plot File,PKR54 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
114,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
115,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
116,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
117,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
118,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
119,Plot File,PKR54 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
120,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
121,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
122,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
123,Plot File,PKR54 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
124,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
125,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
126,Plot File,PKR79 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
127,Plot File,PKR54 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
128,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
129,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
130,Plot File,PKR31.75 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
131,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
132,Plot File,PKR48.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
133,Plot File,PKR31.4 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
134,Plot File,PKR31.25 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
135,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
136,Plot File,PKR77.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
137,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,File
138,Plot File,PKR78 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
139,Plot File,PKR50 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
140,Plot File,PKR83 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
141,Plot File,PKR45.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
142,Plot File,PKR78 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
143,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
144,Plot File,PKR46.5 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
145,Plot File,PKR79.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
146,Plot File,PKR46 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
147,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
148,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
149,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
150,Plot File,PKR78.5 Lakh,"DHA City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
151,Plot File,PKR45.75 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
152,Plot File,PKR31.25 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
153,Residential Plot,PKR32.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
154,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
155,Plot File,PKR31 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
156,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
157,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
158,Plot File,PKR47.75 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
159,Plot File,PKR30.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
160,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
161,Plot File,PKR31.5 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
162,Plot File,PKR28.75 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,
163,Plot File,PKR1.07 Crore,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,2 months ago,
164,Plot File,PKR35 Lakh,"DHA City, Lahore, Punjab",5,5 Marla,For Sale,4,7 months ago,
165,Residential Plot,PKR50 Lakh,"DHA City, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
166,Plot File,PKR58 Lakh,"DHA City, Lahore, Punjab",-,10 Marla,For Sale,-,9 months ago,
